Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge
7350,20060801,20230409,585,49.1088,12.8231
7351,20050908,20230409,115,53.3176,13.4175
7364,20070101,20230409,74,51.6818,12.3053
7367,20071201,20230409,144,51.9643,9.8072
7368,20071101,20230409,312,51.0007,10.3621
7369,20071101,20230409,475,49.1623,10.3661
7370,20061211,20230409,499,49.391,12.6838
7373,20060301,20230409,3,53.5984,6.7024
7374,20060301,20230409,46,52.0813,6.9409
7389,20061201,20230409,83,52.7461,13.8427
7393,20100101,20230409,116,51.4492,14.2533
7394,20060601,20230409,622,50.0315,11.9745
7395,20071201,20230409,351,48.6595,12.5388
7396,20080501,20230409,740,50.5084,9.2246
7403,20070330,20230409,672,47.7955,10.0325
7410,20110201,20230409,350,50.7513,9.0224
7412,20061001,20230409,340,50.0083,9.4238
7419,20061201,20230409,389,50.661,12.0756
7420,20070401,20230409,246,51.1044,11.7112
7424,20061201,20230409,457,47.7724,12.9073
7427,20070901,20230409,17,54.0188,9.9255
7428,20070501,20230409,397,50.4167,10.8156
7431,20071101,20230409,604,48.013,11.5524
7432,20070501,20230409,71,52.6423,10.6628
13670,20070601,20230409,24,51.5088,6.7018
13674,20070801,20230409,237,49.2943,8.9053
13675,20071101,20230409,75,52.0818,9.4077
13696,20071201,20230409,60,51.5966,7.4048
13700,20080501,20230409,203,51.3329,7.3412
13710,20080401,20230409,490,48.5734,12.2576
13711,20071201,20230409,289,50.682,11.515
13713,20071101,20230409,386,51.0899,7.6289
13777,20080601,20230409,109,52.2467,10.9592
13965,20081201,20230409,619,48.2639,8.8134
15000,20110401,20230409,231,50.7983,6.0244
15207,20131101,20230409,317,51.2835,9.359
15444,20140901,20230409,593,48.4418,9.9216
15555,20160501,20230409,815,47.8761,10.5849
